part,feature,supplier,color,shortDesc,longDesc,startDate,endDate,qty
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR M CN,PFF QCT MAD SLR M CN,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR M BL,PFF QCT MAD SLR M BL,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR M PR,PFF QCT MAD SLR M PR,2025-04-01 00:00 GMT,,0
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR M WT,PFF QCT MAD SLR M WT,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR ML CN,PFF QCT MAD SLR ML CN,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR ML BL,PFF QCT MAD SLR ML BL,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR ML PR,PFF QCT MAD SLR ML PR,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR ML WT,PFF QCT MAD SLR ML WT,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR L CN,PFF QCT MAD SLR L CN,2025-04-01 00:00 GMT,,0
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR L BL,PFF QCT MAD SLR L BL,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR L PR,PFF QCT MAD SLR L PR,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR L WT,PFF QCT MAD SLR L WT,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR XL CN,PFF QCT MAD SLR XL CN,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR XL BL,PFF QCT MAD SLR XL BL,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PFF QCT MAD SLR XL PR,PFF QCT MAD SLR XL PR,2025-04-01 00:00 GMT,,0
305728,hubRear,Hubtec International Limited,,PFF QCT MAD SLR XL WT,PFF QCT MAD SLR XL WT,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,"FRM XDS, MARLIN, 2023, XXS, AL","FRM XDS, MARLIN, 2023, XXS, AL",2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,,,2025-04-01 00:00 GMT,,1
601132,frameHardware,"A&J (VIETNAM) CO.,LTD",,,,2025-06-04 00:00 GMT,,1
530518,,Lee Chi - Lee Chi Enterprises Co - 81578,,,,,,1
5319186,spokeProtector,YUNG FANG PLASTIC (KUNSHAN) CO LTD,,,,2025-06-06 00:00 GMT,,1
5293689,cSGuard,Bright Glory Inc - 32185,,,,2025-06-10 00:00 GMT,,1
535694,,Glory Wheel Enterprise Co. LTD,,,,,,1
302359,,Glory Wheel Enterprise Co. LTD,,,,,,1
302359,,Glory Wheel Enterprise Co. LTD,,,,,,1
559003,headbadge,Oriole Graphic Design Co. Ltd - Oriole Graphic Design Co. Ltd. - 378183,,,,2025-06-10 00:00 GMT,,1
601132,frameHardware,"A&J (VIETNAM) CO.,LTD",,,,2025-06-04 00:00 GMT,,2
565970,,Sr Suntour Inc,,,,,,1
5282013,,Full Speed Ahead,,,,,,1
313066,,VP Components CO. LTD,,,,,,1
320934,reflectorRear,Kozaki Trading Co Ltd - 80738,,,,2025-06-10 00:00 GMT,,1
534844,reflectorRearBracket,Trek Approved,,,,2025-06-10 00:00 GMT,,1
5327852,,KENDA RUBBER IND CO (TAIWAN) - Kenda Rubber (China) Co Ltd,,,,,,1
5327852,,KENDA RUBBER IND CO (TAIWAN) - Kenda Rubber (China) Co Ltd,,,,,,1
580969,ownersManual,Badger Graphic Systems - Quality Resource Group Inc - 384957,,,,2025-06-10 00:00 GMT,,1
5264868,carton,Trek Approved,,,,2025-06-10 00:00 GMT,,1
575356,,KENDA RUBBER IND CO (TAIWAN) - Kenda Rubber (China) Co Ltd,,,,,,1
535694,,Glory Wheel Enterprise Co. LTD,,,,,,1
535694,,Glory Wheel Enterprise Co. LTD,,,,,,1
5319186,spokeProtector,YUNG FANG PLASTIC (KUNSHAN) CO LTD,NA-RAW(1083),,,2025-06-06 00:00 GMT,,1
320929,reflectorFrontBracket,Kozaki Trading Co Ltd - 80738,BK-Black(TK100),,,2025-06-10 00:00 GMT,,1
320865,reflectorFront,Kozaki Trading Co Ltd - 80738,BK-Black(TK100),,,2025-06-10 00:00 GMT,,1
559003,headbadge,Oriole Graphic Design Co. Ltd - Oriole Graphic Design Co. Ltd. - 378183,BK-Black(TK100),,,2025-06-10 00:00 GMT,,1
5293689,cSGuard,Bright Glory Inc - 32185,BK-Black(TK100),,,2025-06-10 00:00 GMT,,1
